idx,cow_frac,rice_frac,wheat_frac,food_frac,press_frac,poultry_frac,temperature_C,HRT_days,OLR,OLR_used,converged,q_ch4_avg,pH_final,VFA_final,S_nh3_final,vfa_slope_last5d,ph_slope_last5d,first_instability_day,sim_error,stability_label,sweep_source
54,0.0488640183591019,0.0109328327270224,0.5032799137778486,0.1712846029828674,0.0107324767311212,0.2549061554220382,26.688886422797783,26.632296086824383,5.122300632780054,5.122300632780054,True,64.75220760406656,7.193279000696689,0.1352118078813884,0.000777883618812,-0.0006900371100947,-0.004342396297057,-1,,0,biogas_training_data.csv
55,0.156218897846645,0.2531302984419866,0.2323174200003673,0.151908803210911,0.099237447283686,0.107187133216404,25.83228347723785,29.75963276978076,4.603562775907276,4.603562775907276,True,57.28497328483392,7.178944860367872,0.0958647014108927,0.0005606921205326,-0.0003055432588128,-0.0046705834694203,-1,,0,biogas_training_data.csv
56,0.2903175010300962,0.0535194704257014,0.1216021765439392,0.2479027837558062,0.1702236852946768,0.11643438294978,31.597224246655703,15.780967554641876,7.619994397600557,7.619994397600557,True,83.29727216436254,7.218738379172936,0.1709374968470722,0.0011374351942675,-0.0007063247611295,-0.003525378817503,-1,,0,biogas_training_data.csv
57,0.026107515336788,0.735460931142871,0.0426190392828987,0.0569469707528309,0.0428645364393917,0.0960010070452196,27.068059354451037,33.50578288710848,4.741039846202463,4.741039846202463,True,56.49903063261285,7.109490969203311,0.0615830311196335,0.0003287940658277,-7.405901936671439e-05,-0.0068234985709367,-1,,0,biogas_training_data.csv
58,0.3633732199067542,0.0873411816408104,0.1926173687379842,0.1042491866955076,0.1723930852118738,0.0800259578070694,28.411859370737723,47.004804735071886,2.57544915556953,2.57544915556953,True,37.45217248742226,7.293116740591642,0.0737332427723988,0.0009578935900745,0.0002881440179747,-0.0026815119481061,-1,,0,biogas_training_data.csv
59,0.3056759376408974,0.1198426228802302,0.1103555588392365,0.1734298775759364,0.0534667587829969,0.2372292442807024,36.6212227940079,23.87479218139348,4.847149082296955,4.847149082296955,True,62.70580843473709,7.331833555981172,0.1293798447078802,0.0023392124546084,0.0002535383468707,-0.0029282791678321,-1,,0,biogas_training_data.csv
60,0.1665192995260928,0.1416061966635552,0.0004772518805722,0.456933924210305,0.1696403493034174,0.0648229784160572,44.17118426482891,29.29213747771601,4.3482333122222805,4.3482333122222805,True,74.0183292789834,7.470758833680207,0.1203846409455435,0.0052258561771355,0.0017563764894617,-0.001460998334505,-1,,0,biogas_training_data.csv
61,0.4105149129049023,0.1888148332563859,0.0605797099030731,0.1029750890863514,0.1704383969124034,0.0666770579368836,34.73316661676321,29.62827977418084,3.99935425421962,3.99935425421962,True,50.60777080173931,7.299272118170195,0.0757820255008927,0.0014883624816994,0.0001656504836112,-0.0035267821394429,-1,,0,biogas_training_data.csv
62,0.3091166549763559,0.1233334113501856,0.4215269777449014,0.0282010441029847,0.0184923180599956,0.0993295937655766,43.75652909949966,32.86912209504301,3.9275491161388136,3.9275491161388136,True,50.73362822036114,7.349114523635653,0.04712055629414,0.0026060078239489,0.0001861635594179,-0.004026666979049,-1,,0,biogas_training_data.csv
63,0.229389885969318,0.0150433233018899,0.1327505716100542,0.3682341557488164,0.0392188827417149,0.2153631806282066,34.469788021139074,20.679026523675745,5.67440843425218,5.67440843425218,True,79.12489273012378,7.3323594644796,0.2454819950597987,0.0022543030642424,0.0005706596504477,-0.0023559866186264,-1,,0,biogas_training_data.csv
64,0.0500803829266082,0.0294294397434908,0.7428113730924525,0.1186367645411312,0.0211176008674601,0.0379244388288569,31.631379946851045,30.82689609886151,5.138218300990787,5.138218300990787,True,64.80646456755697,7.1455652153854095,0.0542420025277734,0.0004762920834715,-3.271369548625375e-05,-0.0066374900773162,-1,,0,biogas_training_data.csv
65,0.0583016767621766,0.1503028517590898,0.2206018112868703,0.292298146930472,0.2717982403015591,0.0066972729598321,41.52583848388716,45.84643087359067,3.198662282194417,3.198662282194417,True,55.749606766607634,7.426114464568536,0.0541380373640941,0.0027472594777267,0.0006423639070442,-0.0020621771746511,-1,,0,biogas_training_data.csv
66,0.1562340573909112,0.0620892195196661,0.1353863794690601,0.4030013696172624,0.1418037477867171,0.1014852262163827,27.804981779972216,32.16144574156198,3.973944057099698,3.973944057099698,True,62.94754551712038,7.305243970330683,0.1856879528629272,0.0011856595974293,0.00073090123867,-0.0022945175009499,-1,,0,biogas_training_data.csv
